,contract__id,contract__payments__payByTasks__wage__taskId,contract__payments__payByTasks__wage__rate,contract__workingHour__min,contract__workingHour__max
0,130.0,243392,0.0,0.0,500.0
26,5.0,251779,4.63,0.0,500.0
53,7.0,251779,4.63,0.0,500.0
80,72.0,251779,4.88,0.0,500.0
107,16.0,251779,4.88,0.0,500.0
134,81.0,251779,4.8,0.0,500.0
161,145.0,261090,0.0,0.0,500.0
183,18.0,251779,4.76,0.0,500.0
210,146.0,266420,0.0,0.0,500.0
214,149.0,266420,0.0,0.0,500.0
218,25.0,251779,4.76,0.0,500.0
245,27.0,251779,4.77,0.0,500.0
272,155.0,266420,0.0,0.0,500.0
276,28.0,251779,4.76,0.0,500.0
303,29.0,251779,4.76,0.0,500.0
330,31.0,251779,4.63,0.0,500.0
357,161.0,251779,4.8,0.0,500.0
384,35.0,251779,4.77,0.0,500.0
411,36.0,251779,4.8,0.0,500.0
438,168.0,251779,4.8,0.0,500.0
465,169.0,266420,0.0,0.0,500.0
469,170.0,266420,0.0,0.0,500.0
473,173.0,251779,4.8,0.0,500.0
500,110.0,251779,4.8,0.0,500.0
526,175.0,251779,4.8,0.0,500.0
553,176.0,243392,0.0,0.0,500.0
579,114.0,251779,4.8,0.0,500.0
605,123.0,251779,4.8,0.0,500.0
632,125.0,243392,0.0,0.0,500.0
658,127.0,243392,0.0,0.0,500.0
